Unnamed: 0,Private,Apps,Accept,Enroll,Top10perc,Top25perc,F.Undergrad,P.Undergrad,Outstate,Room.Board,Books,Personal,PhD,Terminal,S.F.Ratio,perc.alumni,Expend,Grad.Rate,Apps_trans,Accept_trans,Enroll_trans,Top10perc_trans,F.Undergrad_trans,P.Undergrad_trans,Outstate_trans,Books_trans,Personal_trans,PhD_trans,Terminal_trans,S.F.Ratio_trans,perc.alumni_trans,Expend_trans,Accept_Rate,Outstate_Tier,Outstate_Tier_encoded,Private_encoded,Outstate_Tier_encoded_scaled,Private_encoded_scaled,Apps_trans_scaled,Accept_trans_scaled,Enroll_trans_scaled,Top10perc_trans_scaled,F.Undergrad_trans_scaled,P.Undergrad_trans_scaled,Outstate_trans_scaled,Books_trans_scaled,Personal_trans_scaled,PhD_trans_scaled,Terminal_trans_scaled,S.F.Ratio_trans_scaled,perc.alumni_trans_scaled,Expend_trans_scaled,Accept_Rate_trans,Private_encoded_trans,Private_encoded_scaled_trans,Accept_Rate_trans_scaled,Private_encoded_trans_scaled,Private_encoded_scaled_trans_scaled
Abilene Christian University,Yes,1660,1232,721,23,52,2885,537,7440,3300,450,2200,70.0,78,18.1,12,7041,60,0.027875084216752014,0.04112349978782947,0.49398839253252935,-0.04753313995778422,0.43375745827735374,0.3064872489683561,-0.6934524379658119,-0.6143252338289236,1.271441718087908,-0.2915826792352699,-0.2828555413330692,1.0190329338711737,-0.8347120348951067,-0.4911902928883103,0.7421686746987952,Low,0,1,-1.0987972149572356,0.6125530498969481,0.027875084216751667,0.041123499787829546,0.49398839253252874,-0.04753313995778462,0.4337574582773542,0.30648724896835605,-0.6934524379658126,-0.6143252338289233,1.271441718087907,-0.2915826792352703,-0.28285554133306934,1.0190329338711732,-0.8347120348951071,-0.4911902928882912,-0.21865560254241662,0.6125530498969479,0.612553049896948,-0.21865560254241712,0.6125530498969481,0.6125530498969483
Adelphi University,Yes,2186,1924,512,16,29,2683,1227,12280,6450,750,1500,29.0,30,12.2,16,10527,56,0.2830852881943322,0.4860695997446218,0.1425396793929512,-0.5868962977653778,0.36552603724079685,0.8731629541442719,0.5562703143209636,1.302507133936391,0.4565936404384389,-2.176663437470544,-2.247871935822592,-0.43446218134192693,-0.4323290036172367,0.5523695353645415,0.8801463860933212,Medium,1,1,0.3581403891754813,0.6125530498969481,0.2830852881943319,0.4860695997446219,0.14253967939295056,-0.5868962977653782,0.3655260372407973,0.8731629541442718,0.556270314320963,1.3025071339363914,0.4565936404384379,-2.1766634374705442,-2.247871935822592,-0.4344621813419273,-0.4323290036172371,0.5523695353645606,1.003336385868238,0.6125530498969479,0.612553049896948,1.0033363858682378,0.6125530498969481,0.6125530498969483
Adrian College,Yes,1428,1097,336,22,50,1036,99,11250,3750,400,1165,53.0,66,12.9,30,8735,54,-0.11389115379524906,-0.07700543793018212,-0.31617706301307386,-0.1160987382636973,-0.636915710278457,-0.7316464440072331,0.32201189678612024,-1.0388011424180428,-0.06865548763817216,-1.2616584368949362,-1.0406490873905974,-0.24905677256531966,0.6744919519989533,0.0963933164348799,0.7682072829131653,Medium,1,1,0.3581403891754813,0.6125530498969481,-0.1138911537952494,-0.07700543793018205,-0.3161770630130746,-0.1160987382636977,-0.6369157102784565,-0.7316464440072332,0.3220118967861195,-1.0388011424180428,-0.06865548763817315,-1.2616584368949366,-1.0406490873905974,-0.24905677256532008,0.6744919519989528,0.09639331643489897,-0.01742464273315185,0.6125530498969479,0.612553049896948,-0.017424642733152286,0.6125530498969481,0.6125530498969483
Agnes Scott College,Yes,417,349,137,60,89,510,63,12960,5450,450,875,92.0,97,7.7,37,19016,59,-1.3330514001444782,-1.2948110844500123,-1.3971079459704356,1.6091146533387966,-1.5313305281499452,-0.9827260974044782,0.7039283295979933,-0.6143252338289236,-0.6517887649745615,1.3621979324255895,1.3651568927969056,-1.7470120335841908,1.1257980885897985,1.7270031071000755,0.8369304556354916,Medium,1,1,0.3581403891754813,0.6125530498969481,-1.3330514001444786,-1.2948110844500123,-1.3971079459704365,1.609114653338796,-1.5313305281499447,-0.9827260974044784,0.7039283295979927,-0.6143252338289233,-0.6517887649745625,1.362197932425589,1.3651568927969056,-1.7470120335841912,1.125798088589798,1.7270031071000946,0.5775950663823208,0.6125530498969479,0.612553049896948,0.5775950663823205,0.6125530498969481,0.6125530498969483
Alaska Pacific University,Yes,193,146,55,16,44,249,869,7560,4120,800,1500,76.0,72,11.9,2,10922,15,-2.1523361516389374,-2.2864857517717887,-2.6538266391848824,-0.5868962977653778,-2.5877021869158714,0.6316190134718619,-0.6567794366897636,1.553695186961413,0.4565936404384389,0.11480358880148679,-0.6873174824544503,-0.5152188828746125,-2.329357208369601,0.6370519765995337,0.7564766839378239,Low,0,1,-1.0987972149572356,0.6125530498969481,-2.152336151638938,-2.2864857517717887,-2.6538266391848837,-0.5868962977653782,-2.587702186915871,0.6316190134718618,-0.6567794366897642,1.5536951869614135,0.4565936404384379,0.11480358880148643,-0.6873174824544505,-0.5152188828746129,-2.3293572083696015,0.6370519765995528,-0.10964844224189522,0.6125530498969479,0.612553049896948,-0.10964844224189568,0.6125530498969481,0.6125530498969483
Albertson College,Yes,587,479,158,38,62,678,41,13500,3335,500,675,75.0,73,9.4,11,9727,55,-0.9834591515317835,-0.9485228017998929,-1.2153674616026684,0.7767056047201572,-1.1553027961829594,-1.2110331645966375,0.8175992438831524,-0.22914901677242944,-1.1698338049692316,0.0447497870211825,-0.6235308993858222,-1.2228535013648447,-0.9453261344609437,0.36485606780594454,0.8160136286201022,Medium,1,1,0.3581403891754813,0.6125530498969481,-0.9834591515317839,-0.9485228017998928,-1.2153674616026693,0.7767056047201567,-1.155302796182959,-1.2110331645966375,0.8175992438831517,-0.22914901677242913,-1.1698338049692327,0.04474978702118213,-0.6235308993858223,-1.2228535013648452,-0.9453261344609442,0.36485606780596364,0.3862351916280114,0.6125530498969479,0.612553049896948,0.38623519162801107,0.6125530498969481,0.6125530498969483
Albertus Magnus College,Yes,353,340,103,17,45,416,230,13290,5720,500,1500,90.0,93,11.5,26,8861,63,-1.506510533633622,-1.3237171601245863,-1.7723179350158718,-0.5000085327852752,-1.8150220375101371,-0.23384814646205462,0.7737552072176591,-0.22914901677242944,0.4565936404384389,1.1932365358027166,0.9693375120855497,-0.6241683558478293,0.3918121831278882,0.13304701290641674,0.9631728045325779,Medium,1,1,0.3581403891754813,0.6125530498969481,-1.5065105336336224,-1.3237171601245863,-1.7723179350158726,-0.5000085327852757,-1.8150220375101367,-0.2338481464620547,0.7737552072176584,-0.22914901677242913,0.4565936404384379,1.1932365358027162,0.9693375120855496,-0.6241683558478297,0.3918121831278878,0.1330470129064358,1.9464036561011844,0.6125530498969479,0.612553049896948,1.9464036561011844,0.6125530498969481,0.6125530498969483
Albion College,Yes,1899,1720,489,37,68,1594,32,13868,4826,450,850,89.0,100,13.7,37,11487,73,0.1532310868928054,0.3754920445577133,0.09391910438190838,0.7305835658560428,-0.15706230981818542,-1.3380783400810938,0.8933624127542497,-0.6143252338289236,-0.7101522318661437,1.1101537037083895,1.6800113003699915,-0.042038843535126456,1.1257980885897985,0.7502919785871572,0.9057398630858347,Medium,1,1,0.3581403891754813,0.6125530498969481,0.15323108689280504,0.37549204455771334,0.09391910438190772,0.7305835658560423,-0.15706230981818498,-1.3380783400810938,0.893362412754249,-0.6143252338289233,-0.7101522318661447,1.110153703708389,1.6800113003699915,-0.04203884353512687,1.125798088589798,0.7502919785871763,1.2758041043075126,0.6125530498969479,0.612553049896948,1.2758041043075123,0.6125530498969481,0.6125530498969483
Albright College,Yes,1038,839,227,30,63,973,306,15595,4400,300,500,79.0,84,11.3,23,11644,80,-0.41946431311888704,-0.3535733875805028,-0.7706952927942133,0.3771313679720627,-0.7106328409913837,-0.056425392670277026,1.2322956289218325,-2.0489462340837274,-1.756532921293452,0.3305429069207441,0.17540598418550252,-0.6792077728800088,0.16480224108923644,0.7802450944091319,0.8082851637764933,High,2,1,1.8150779933081982,0.6125530498969481,-0.4194643131188874,-0.3535733875805027,-0.7706952927942141,0.3771313679720623,-0.7106328409913832,-0.0564253926702771,1.2322956289218319,-2.0489462340837274,-1.756532921293453,0.33054290692074373,0.1754059841855024,-0.6792077728800092,0.16480224108923605,0.780245094409151,0.3178558510163972,0.6125530498969479,0.612553049896948,0.3178558510163968,0.6125530498969481,0.6125530498969483
Alderson-Broaddus College,Yes,582,498,172,21,44,799,78,10468,3380,660,1800,40.0,41,11.5,15,8991,52,-0.9921009632023521,-0.9064909849397514,-1.108997895324639,-0.18710169614595554,-0.9488114852595048,-0.8654616196426677,0.13456450095113598,0.8110292102757778,0.8416278943466902,-1.8231328600691903,-2.0249833565326143,-0.6241683558478293,-0.5277223720549751,0.1700311970567114,0.8556701030927835,Medium,1,1,0.3581403891754813,0.6125530498969481,-0.9921009632023524,-0.9064909849397513,-1.10899789532464,-0.18710169614595593,-0.9488114852595043,-0.8654616196426678,0.13456450095113526,0.8110292102757782,0.8416278943466892,-1.8231328600691907,-2.0249833565326143,-0.6241683558478297,-0.5277223720549755,0.17003119705673048,0.7570644171397467,0.6125530498969479,0.612553049896948,0.7570644171397465,0.6125530498969481,0.6125530498969483
